# Source: OSRS Wiki List_of_banks, fetched 2026-05-24, 125 rows
# x1 y1 x2 y2 plane	name
2413 3797 2421 3805 0	Jatizso Bank
3739 3802 3743 3807 0	Fossil Island Bank
2333 3803 2341 3811 0	Neitiznot Bank
3817 3807 3821 3811 0	Volcanic Mine Chest Bank
1430 3821 1446 3837 0	Lovakengj Mine Bank
1321 3822 1328 3827 0	Mount Karuulm Chest Bank
1479 3854 1499 3874 0	Blast Mine Chests Bank
1453 3858 1457 3862 0	Sulphur Mine Chest Bank
2617 3892 2623 3898 0	Etceteria Bank
3770 3896 3774 3900 0	Bank Chest-wreck Bank
2095 3913 2107 3925 0	Lunar Isle Bank
1638 3942 1642 3947 0	Wintertodt Chest Bank
3087 3953 3093 3959 0	Mage Arena Bank
3416 4054 3436 4074 0	Daimon's Crater Chests Bank
1925 5002 1929 5006 0	Mausoleum Bank
3544 5152 3548 5156 0	Deposit Pot Bank
3331 5193 3335 5197 0	Chambers Of Xeric Lobby Chest Bank
3301 5197 3305 5201 0	Chambers Of Xeric Lobby Chest Bank
3276 5199 3280 5203 0	Chambers Of Xeric Lobby Chest Bank
2902 5203 2906 5207 0	Ancient Prison Bank
1744 5472 1752 5480 0	Clan Hall Bank
1742 5473 1746 5477 0	Clan Halldeposit Box Bank
2976 5797 2980 5801 0	Camdozaal Chest Bank
2188 6225 2192 6229 0	Nutcracker Chest Bank
2009 9183 2013 9187 0	Deepfin Mine Western Chest Bank
2091 9195 2095 9199 0	Deepfin Mine Eastern Chest Bank
1397 9311 1401 9315 0	Alchemical Society Chest Bank
3609 9463 3629 9483 0	Guardians Of The Rift Chest Bank
3608 9486 3610 9488 0	Deposit Pool Bank
1803 9499 1807 9503 0	Fortis Colosseum Chest Bank
1452 9564 1460 9572 0	Cam Torum Bank
3306 12441 3310 12445 0	Trahaearnmine Cart Bank
2461 2846 2465 2850 1	Myths' Guild Chest Bank
3365 3316 3369 3320 1	Mage Training Arena Chest Bank
2435 3476 2453 3494 1	Gnome Stronghold North Bank
3037 6128 3039 6130 1	Gauntletdeposit Box Bank
3204 3214 3214 3224 2	Lumbridge Castle Bank
2728 3374 2738 3384 2	Legends' Guild Bank
1608 3678 1616 3686 2	Kourend Castle Bank
