# Source: OSRS game cache via runelite/cache (BSD 2-Clause).
# x y plane	name	category	spriteId	textScale
3892 3148 0	Eastern Ridge	1129	-1	1
1645 3150 0	Kualti Headquarters	1129	-1	0
2440 3151 0	Observatory	1129	-1	0
3112 3153 0	Wizards' Tower	1129	-1	0
1562 3154 0	Fortis Aqueduct	1129	-1	0
2914 3161 0	Musa Point	1129	-1	0
2594 3162 0	Fight Arena	1129	-1	0
1445 3164 0	Ralos' Rise	1129	-1	1
3376 3164 0	Giants' Plateau	1129	-1	1
1713 3165 0	Grand Museum	1129	-1	0
1681 3166 0	Sunrise Palace	1129	-1	0
1248 3169 0	Tal Teok	1129	-1	0
3313 3171 0	Al Kharid	1129	-1	1
2528 3174 0	Tree Gnome Village	1129	-1	1
2779 3174 0	Brimhaven	1129	-1	1
2843 3176 0	Karamja Volcano	1129	-1	0
3070 3177 0	Bay of Sarim	1129	-1	1
2346 3180 0	Lletya	1129	-1	1
3413 3182 0	Citharede Abbey	1129	-1	0
3195 3183 0	Lumbridge Swamp	1129	-1	0
2243 3186 0	Isafdar	1129	-1	1
2085 3188 0	Lledrith Island	1129	-1	0
3697 3188 0	Icyene Graveyard	1129	-1	0
2659 3189 0	Port Khazard	1129	-1	1
1450 3190 0	The Teomat	1129	-1	0
2815 3193 0	Agility Arena	1129	-1	0
1510 3195 0	Kingdom of Varlamore	1129	-1	2
1624 3200 0	River Ortus	1129	-1	0
2124 3205 0	Porth Neigwl	1129	-1	1
2650 3213 0	Tower of Life	1129	-1	0
2603 3218 0	Monastery	1129	-1	0
3497 3219 0	Burgh de Rott	1129	-1	1
3662 3220 0	Ver Sinhaza	1129	-1	0
3047 3221 0	Port Sarim	1129	-1	1
2960 3222 0	Rimmington	1129	-1	1
1641 3225 0	Tower of Ascension	1129	-1	0
1167 3226 0	Aestuarium Tempestus	1129	-1	1
3275 3227 0	Toll Gate	1129	-1	0
2522 3232 0	Battlefield	1129	-1	0
1378 3234 0	Gloomthorn Trail	1129	-1	0
3239 3234 0	Lumbridge	1129	-1	1
3358 3237 0	Emir's Arena	1129	-1	1
1506 3241 0	Quetzacalli Gorge	1129	-1	1
1570 3241 0	The Proudspire	1129	-1	1
1767 3241 0	Litus Lucis	1129	-1	1
2573 3242 0	Clock Tower	1129	-1	0
2669 3243 0	Necromancer's Tower	1129	-1	0
3444 3243 0	Abandoned Mine	1129	-1	0
3126 3244 0	Jail	1129	-1	0
2258 3246 0	Afon Ganol	1129	-1	0
1982 3247 0	Crystal Sea	1129	-1	1
2937 3248 0	Melzar's Maze	1129	-1	0
3733 3248 0	Sleep Sound	1129	-1	1
2887 3249 0	Rimmington Strait	1129	-1	1
1442 3250 0	Mons Gratia	1129	-1	1
3080 3250 0	Market	1129	-1	0
1284 3256 0	Tempestus	1129	-1	1
1697 3257 0	Twilight Temple	1129	-1	0
2196 3257 0	Iorwerth Camp	1129	-1	0
2752 3263 0	Brimhaven Passage	1129	-1	1
3619 3263 0	Meiyerditch	1129	-1	1
2240 3264 0	Tirannwn	1129	-1	2
3120 3267 0	Draynor Village	1129	-1	1
2839 3271 0	Crandor	1129	-1	1
2614 3273 0	Ardougne Zoo	1129	-1	0
3491 3281 0	Mort'ton	1129	-1	1
2921 3282 0	Crafting Guild	1129	-1	0
1512 3288 0	The Darkfrost	1129	-1	1
2776 3288 0	Fishing Platform	1129	-1	0
2710 3291 0	Witchaven	1129	-1	1
3566 3291 0	Barrows	1129	-1	0
3038 3294 0	South Falador Farm	1129	-1	0
2339 3295 0	Arandar	1129	-1	1
1635 3296 0	Salvager Overlook	1129	-1	1
2597 3298 0	East Ardougne	1129	-1	1
1892 3303 0	Port Roberts	1129	-1	1
3363 3303 0	Mage Training Arena	1129	-1	0
2524 3308 0	West Ardougne	1129	-1	1
1572 3311 0	Shipwreck Cove	1129	-1	0
1373 3313 0	Nemus Retreat	1129	-1	0
2443 3315 0	Underground Pass	1129	-1	0
1417 3320 0	Auburn Valley	1129	-1	1
3217 3321 0	Kingdom of Misthalin	1129	-1	2
2240 3328 0	Prifddinas	1129	-1	1
3718 3330 0	Slepe	1129	-1	1
3866 3330 0	Hallowed Sea	1129	-1	1
1996 3331 0	Western Ocean	1129	-1	2
2907 3336 0	Dark Wizards' Tower	1129	-1	0
3020 3344 0	Mining Guild	1129	-1	0
2961 3345 0	White Knights' Castle	1129	-1	0
3108 3345 0	Draynor Manor	1129	-1	0
3361 3345 0	Exam Centre	1129	-1	0
3167 3350 0	River Lum	1129	-1	0
3201 3354 0	Champions' Guild	1129	-1	0
2435 3355 0	Outpost	1129	-1	0
2989 3355 0	Falador	1129	-1	1
1268 3360 0	Custodia Pass	1129	-1	0
3553 3360 0	Castle Drakan	1129	-1	0
3726 3360 0	Crombwick Manor	1129	-1	0
2119 3362 0	Tirannwn Bight	1129	-1	1
1405 3363 0	Auburnvale	1129	-1	1
3626 3363 0	Darkmeyer	1129	-1	1
2519 3370 0	Combat Training Camp	1129	-1	0
2578 3370 0	Kingdom of Kandarin	1129	-1	2
2737 3374 0	Legends' Guild	1129	-1	0
1060 3379 0	Last Gasp	1129	-1	1
2850 3379 0	Entrana	1129	-1	1
3005 3379 0	Park	1129	-1	0
1527 3380 0	Great Sound	1129	-1	1
3046 3380 0	Party Room	1129	-1	0
3500 3384 0	The Hollows	1129	-1	0
3446 3385 0	Mort Myre Swamp	1129	-1	1
1155 3391 0	The Stranglewood	1129	-1	1
1928 3397 0	Pilgrims' Passage	1129	-1	1
2540 3398 0	River Dougne	1129	-1	0
2770 3399 0	Keep Le Faye	1129	-1	0
2599 3401 0	Fishing Guild	1129	-1	0
3569 3408 0	Graveyard	1129	-1	0
2199 3409 0	Gwenith	1129	-1	1
2713 3410 0	Sorcerer's Tower	1129	-1	0
2823 3410 0	Catherby Bay	1129	-1	1
2988 3412 0	Kingdom of Asgarnia	1129	-1	2
1272 3414 0	Custodia Mountains	1129	-1	1
3063 3416 0	Barbarian Village	1129	-1	1
3365 3419 0	Digsite	1129	-1	0
1130 3420 0	Ritual Site	1129	-1	0
1760 3424 0	Crabclaw Isle	1129	-1	0
2154 3425 0	Mynydd	1129	-1	0
2284 3426 0	Gorlah	1129	-1	0
2634 3426 0	Hemenster	1129	-1	1
1687 3427 0	Crabclaw Bay	1129	-1	1
1175 3430 0	Temple	1129	-1	0
3681 3430 0	Alloviz Estuary	1129	-1	0
3552 3432 0	Morytania	1129	-1	2
1510 3434 0	Land's End	1129	-1	0
1884 3435 0	Chinchompa Island	1129	-1	0
2676 3436 0	Ranging Guild	1129	-1	0
3137 3437 0	Cooks' Guild	1129	-1	0
3403 3437 0	River Salve	1129	-1	0
3016 3441 0	Dwarven Mine	1129	-1	0
2610 3444 0	Lake Hemenster	1129	-1	0
3755 3446 0	Gravewater Bay	1129	-1	1
3211 3450 0	Varrock	1129	-1	1
2433 3454 0	Tree Gnome Stronghold	1129	-1	1
1553 3456 0	Kourend Woodland	1129	-1	1
2836 3457 0	Catherby	1129	-1	1
2379 3458 0	River Crannmor	1129	-1	0
2900 3458 0	Taverley	1129	-1	1
2515 3462 0	Baxtorian Falls	1129	-1	0
1381 3470 0	Lacerta Falls	1129	-1	0
1718 3470 0	Charcoal Burners	1129	-1	0
2925 3473 0	Druids' Circle	1129	-1	0
2218 3476 0	Ynysdail	1129	-1	0
3052 3477 0	Monastery	1129	-1	0
3168 3477 0	Grand Exchange	1129	-1	0
2647 3480 0	McGrubor's Wood	1129	-1	0
2163 3483 0	Porth Gwenith	1129	-1	1
3213 3483 0	Palace	1129	-1	0
3362 3485 0	Silvarea	1129	-1	0
2337 3486 0	Eagles' Peak	1129	-1	1
2401 3487 0	Gnomeball Field	1129	-1	0
3009 3487 0	Ice Mountain	1129	-1	1
3491 3487 0	Canifis	1129	-1	1
3673 3487 0	Port Phasmatys	1129	-1	1
3098 3488 0	Edgeville	1129	-1	1
3580 3488 0	Haunted Woods	1129	-1	1
1173 3489 0	Talon's Grasp	1129	-1	0
2502 3489 0	Otto's Grotto	1129	-1	0
2692 3489 0	Seers' Village	1129	-1	1
3414 3489 0	Paterdomus Temple	1129	-1	0
1613 3490 0	Woodcutting Guild	1129	-1	0
2600 3491 0	Coal Trucks	1129	-1	0
2849 3492 0	White Wolf Mountain	1129	-1	1
2894 3501 0	Heroes' Guild	1129	-1	0
2963 3502 0	Goblin Village	1129	-1	0
2469 3504 0	Grand Tree	1129	-1	0
2763 3505 0	Camelot Castle	1129	-1	0
1806 3507 0	Tithe Farm	1129	-1	0
3308 3507 0	Lumber Yard	1129	-1	0
1449 3514 0	Ruins of Morra	1129	-1	0
1702 3520 0	Saltpetre	1129	-1	0
3659 3520 0	Ectofuntus	1129	-1	0
3018 3522 0	Black Knights' Fortress	1129	-1	0
2934 3526 0	Chaos Temple	1129	-1	0
2710 3527 0	Seers' Eye	1129	-1	0
1580 3530 0	Xeric's Look out	1129	-1	0
1395 3539 0	Shayziens' Wall	1129	-1	0
2145 3547 0	Drumstick Isle	1129	-1	0
1308 3548 0	Lizardman Settlement	1129	-1	0
2895 3549 0	Burthorpe	1129	-1	1
3551 3551 0	Fenkenstrain's Castle	1129	-1	0
1248 3552 0	Mount Quidamortem	1129	-1	1
1536 3552 0	Shayzien	1129	-1	1
1106 3553 0	Grieving Bight	1129	-1	1
2779 3553 0	Merwick Lake	1129	-1	0
3429 3555 0	Slayer Tower	1129	-1	0
2606 3557 0	Vesmjos	1129	-1	0
2542 3558 0	Barbarian Outpost	1129	-1	0
3902 3559 0	Dragon's Maw	1129	-1	1
1808 3560 0	Vinery	1129	-1	0
3808 3560 0	Dragontooth Island	1129	-1	0
1495 3561 0	Graveyard of Heroes	1129	-1	0
2854 3564 0	Warriors' Guild	1129	-1	0
3502 3572 0	Mausoleum	1129	-1	0
2741 3574 0	Sinclair Mansion	1129	-1	0
1675 3575 0	Forthos Ruin	1129	-1	0
3642 3578 0	Haunted Coast	1129	-1	1
2525 3581 0	Barbarian Assault	1129	-1	0
2455 3591 0	Grandroot Bay	1129	-1	1
2865 3592 0	Death Plateau	1129	-1	0
1615 3594 0	River Hos	1129	-1	0
1917 3597 0	Hosidian Sea	1129	-1	1
1583 3602 0	Shayzia Ruin	1129	-1	0
2272 3602 0	Kraken Cove	1129	-1	0
2331 3604 0	Piscatoris	1129	-1	1
1750 3607 0	Hosidius	1129	-1	1
2765 3608 0	Golden Apple Tree	1129	-1	0
3238 3610 0	Chaos Temple	1129	-1	0
1445 3615 0	Giant Pit	1129	-1	0
1509 3617 0	Infirmary	1129	-1	0
2563 3617 0	Rower's Arm	1129	-1	0
1311 3618 0	Xeric's Shrine	1129	-1	0
3349 3618 0	Pyre Cove	1129	-1	0
1255 3622 0	Kebos Swamp	1129	-1	1
3129 3623 0	Clan Wars	1129	-1	0
3141 3623 0	Bounty Hunter	1129	-1	0
1640 3626 0	Mess	1129	-1	0
2080 3626 0	Vagabonds Rest	1129	-1	1
1836 3627 0	The Dibber	1129	-1	0
1546 3633 0	Combat Ring	1129	-1	0
3030 3633 0	Dark Warriors' Fortress	1129	-1	0
3151 3635 0	Ferox Enclave	1129	-1	1
1488 3636 0	War Tent	1129	-1	0
3429 3641 0	Bleakwater Bay	1129	-1	1
3142 3644 0	Last Man Standing	1129	-1	0
2679 3646 0	Fremennik Province	1129	-1	2
1265 3649 0	Kebos Lowlands	1129	-1	2
1374 3650 0	Lake Molch	1129	-1	0
3279 3659 0	Larran's Chest	1129	-1	0
1510 3664 0	Shayzien Encampment	1129	-1	1
1312 3670 0	Molch	1129	-1	1
2784 3670 0	Mountain Camp	1129	-1	0
1260 3672 0	River Molch	1129	-1	0
3167 3673 0	Graveyard of Shadows	1129	-1	0
1668 3675 0	Kingstown	1129	-1	1
3116 3675 0	Hunter's End	1129	-1	0
1626 3676 0	Kourend Castle	1129	-1	0
2892 3678 0	Trollheim	1129	-1	0
1445 3679 0	Chasm of Fire	1129	-1	0
2231 3679 0	Piscatoris Sea	1129	-1	1
2080 3681 0	Buccaneers' Haven	1129	-1	0
2672 3681 0	Rellekka	1129	-1	1
3181 3682 0	Skeletal Tomb	1129	-1	0
2844 3684 0	Troll Stronghold	1129	-1	1
3036 3689 0	Bandit Camp	1129	-1	0
2345 3693 0	Piscatoris Fishing Colony	1129	-1	0
3723 3694 0	Echoing Rift	1129	-1	1
2966 3697 0	Ruins	1129	-1	0
1600 3700 0	Kingdom of Great Kourend	1129	-1	2
1824 3704 0	Port Piscarilius	1129	-1	1
1503 3707 0	Lizardman Canyon	1129	-1	0
1435 3710 0	Shamans	1129	-1	0
2728 3715 0	Keldagrim Entrance	1129	-1	0
1368 3718 0	Battlefront	1129	-1	0
2593 3724 0	Fremensund	1129	-1	1
1163 3734 0	Kebos Shore	1129	-1	1
3164 3735 0	Ruins	1129	-1	0
2846 3736 0	Troll Country	1129	-1	2
1249 3739 0	Farming Guild	1129	-1	0
3184 3743 0	Web Chasm	1129	-1	0
2912 3744 0	God Wars Dungeon	1129	-1	0
3246 3746 0	Bone Yard	1129	-1	0
2349 3747 0	Fremennik Strait	1129	-1	1
1842 3748 0	Foodhall	1129	-1	0
1678 3752 0	Arceuus	1129	-1	1
2977 3753 0	The Forgotten Cemetery	1129	-1	0
2522 3756 0	Waterbirth Island	1129	-1	0
1910 3757 0	Gulf of Kourend	1129	-1	1
1483 3758 0	Lovakengj Assembly	1129	-1	0
2745 3763 0	Dvergfjord	1129	-1	0
3546 3776 0	Wyvern's Wake	1129	-1	1
3144 3781 0	Wilderness	1129	-1	2
3680 3781 0	Tar Swamp	1129	-1	0
3721 3781 0	Fossil Island	1129	-1	2
3780 3781 0	Volcano	1129	-1	0
3223 3786 0	Vet'ion's Rest	1129	-1	0
3321 3793 0	Silk Chasm	1129	-1	0
3925 3796 0	The Precipice	1129	-1	1
1503 3798 0	Lovakengj	1129	-1	1
1311 3808 0	Mount Karuulm	1129	-1	1
2857 3809 0	Ice path	1129	-1	0
2105 3814 0	Moonshadow	1129	-1	1
2206 3815 0	Pirates' Cove	1129	-1	0
2477 3815 0	V's Belt	1129	-1	1
2320 3821 0	Neitiznot	1129	-1	1
3730 3821 0	Museum Camp	1129	-1	0
1573 3822 0	Tower of Magic	1129	-1	0
2392 3822 0	Jatizso	1129	-1	1
3199 3824 0	Lava Dragon Isle	1129	-1	0
1624 3826 0	Library	1129	-1	0
1385 3830 0	The Forsaken Tower	1129	-1	0
1428 3840 0	Lovakite Mine	1129	-1	0
1496 3846 0	Blast Mine	1129	-1	0
3079 3848 0	Lava Maze	1129	-1	0
3293 3848 0	Callisto's Den	1129	-1	0
2662 3855 0	Idestia Strait	1129	-1	1
3690 3861 0	Mushroom Forest	1129	-1	0
2782 3863 0	Trollweiss Mountain	1129	-1	1
3780 3871 0	House on the Hill	1129	-1	0
2609 3874 0	Etceteria	1129	-1	1
1354 3876 0	Sulphur Cove	1129	-1	1
2141 3877 0	Lunar Isle	1129	-1	2
2367 3879 0	Fremennik Isles	1129	-1	2
2545 3879 0	Miscellania	1129	-1	1
1696 3880 0	Dark Altar	1129	-1	0
3293 3884 0	Demonic Ruins	1129	-1	0
1446 3885 0	Sulphur Mine	1129	-1	0
1558 3892 0	Settlement Ruins	1129	-1	0
1842 3892 0	River of Souls	1129	-1	0
3379 3893 0	Fountain of Rune	1129	-1	0
2183 3904 0	Lunar Bay	1129	-1	1
3575 3911 0	Untamed Ocean	1129	-1	2
2972 3919 0	Frozen Waste Plateau	1129	-1	0
3443 3923 0	The Cinderwaters	1129	-1	1
1630 3930 0	Northern Tundras	1129	-1	1
3286 3931 0	Rogues' Castle	1129	-1	0
3107 3933 0	Mage Arena	1129	-1	0
1696 3936 0	Fishing Hamlet	1129	-1	0
3187 3936 0	Resource Area	1129	-1	0
3365 3937 0	Blighted Volcano	1129	-1	0
1570 3940 0	Unmarked Grave	1129	-1	0
2878 3940 0	Weiss	1129	-1	1
2777 3941 0	Weissmere	1129	-1	1
3149 3941 0	Deserted Keep	1129	-1	0
1141 3942 0	Dagger's Edge	1129	-1	1
3236 3945 0	Scorpion Pit	1129	-1	0
2395 3947 0	Kannski Tides	1129	-1	1
3043 3948 0	Pirates' Hideout	1129	-1	0
1969 3959 0	Winter's Edge	1129	-1	1
3019 3959 0	Larran's Chest	1129	-1	0
1503 3960 0	The White Cliffs of Lova	1129	-1	0
1630 3968 0	Doors of Dinh	1129	-1	0
3852 3985 0	The Eastern Doldrums	1129	-1	1
2622 3988 0	Here be penguins	1129	-1	0
1251 3991 0	Forgotten Ocean	1129	-1	2
1447 3994 0	Lovkengj's Shroud	1129	-1	1
2784 3999 0	The Graveyard	1129	-1	0
3308 4002 0	Fiend's Passage	1129	-1	1
3567 4003 0	Lithkren	1129	-1	0
1630 4011 0	The Wintertodt	1129	-1	0
2467 4011 0	Island of Stone	1129	-1	0
2553 4014 0	Stoneheart Sea	1129	-1	1
3642 4019 0	Ancient Reef	1129	-1	1
2952 4031 0	Wiess Melt	1129	-1	1
3473 4036 0	Tower of Bounty	1129	-1	0
2681 4048 0	Iceberg	1129	-1	1
3382 4053 0	Huntsman's Wood	1129	-1	0
2272 4066 0	Ungael	1129	-1	0
3161 4067 0	The Searing Sea	1129	-1	1
1276 4070 0	The Endless Sea	1129	-1	1
2124 4070 0	Lunar Sea	1129	-1	1
1948 4071 0	Brittle Isle	1129	-1	0
2913 4075 0	Grimstone	1129	-1	0
2477 4085 0	Northern Ocean	1129	-1	2
3424 4088 0	Daimon's Crater	1129	-1	1
1792 4095 0	Everwinter Sea	1129	-1	1
2750 4103 0	Shiverwake Expanse	1129	-1	1
1556 4113 0	Frostgrave Depths	1129	-1	1
3424 4121 0	Frozen Temple	1129	-1	0
1888 4352 0	Sub-level 5	1129	-1	1
2888 4360 0	Sub-level 6	1129	-1	1
1950 4362 0	Rock lobsters	1129	-1	0
1895 4368 0	Dagannoth	1129	-1	0
2422 4375 0	Beware of the mushrooms	1129	-1	0
2383 4380 0	Tanglefeet	1129	-1	0
2888 4384 0	Dagannoth Kings	1129	-1	0
1898 4400 0	Rock lobsters	1129	-1	0
2386 4427 0	Otherworldly beings	1129	-1	0
2447 4429 0	Throne room	1129	-1	0
2428 4446 0	Puro-puro	1129	-1	0
2482 4452 0	Market	1129	-1	0
2452 4478 0	Shrine	1129	-1	0
3184 4544 0	Lower level	1129	-1	1
3166 4547 0	Exit	1129	-1	0
3150 4650 0	Terror dogs	1129	-1	0
2533 4704 0	Mage Arena bank	1129	-1	0
2272 4705 0	King Black Dragon	1129	-1	0
3110 4793 0	Sire	1129	-1	0
